drug_name,generic_name_guess,atc_code,count
espumisan capsules,espumisan capsules,,170
ethambutol,ethambutol,,39
eto,eto,,117
etodolac dwp,etodolac dwp,,81
etofride 50,etofride,,1477
etoricoxib,etoricoxib,,1866
eucol,eucol,,409
exemesin,exemesin,,37
exfast,exfast,,16
ezechol,ezechol,,599
ezoleta tablet,ezoleta tablet,,5
famodin,famodin,,612
farzincol,farzincol,,1
fascapin-20,fascapin-20,,365
fave di fuca hydralax,fave di fuca hydralax,,12
febustad 40,febustad,,60
fefasdin,fefasdin,,1675
feleifen,feleifen,,9
feleilor,feleilor,,5
felodipine stella,felodipine,,674
femadex,femadex,,48
femaplex,femaplex,,2
fenostad 67,fenostad,,53
fentimeyer 600,fentimeyer,,22
feraminda,feraminda,,1
ferium- xt,ferium- xt,,77
fezidat,fezidat,,798
fibrofin-145,fibrofin-145,,193
fitrofu,fitrofu,,289
fixco,fixco,,64
flaben,flaben,,1
flixotide evohaler,flixotide evohaler,,4
flolistim,flolistim,,2
fluvastatin,fluvastatin,,775
fluvastatin dwp,fluvastatin dwp,,1368
fosmitic,fosmitic,,45
foxmyzil,foxmyzil,,1
fucipa,fucipa,,68
fucipa 15g(1) túyb cystin-b6 boston 500 mg,fucipa 15g(1) túyb cystin-b6 boston 500 mg,,2
fudophar,fudophar,,63
fudophos,fudophos,,2
fumagate,fumagate,,525
gabapentin,gabapentin,,1693
galvus,galvus,,654
galvus met,galvus met,,132
gaptinew,gaptinew,,326
gastevin,gastevin,,2665
gastro-bisal tablet,gastro-bisal tablet,,109
gel dùng ngoài mangizeni,gel dùng ngoài mangizeni,,408
gel tra mắt eyegel,gel tra mắt eyegel,,26
gel xịt miệng - họng nacato,gel xịt miệng - họng nacato,,47
gel xịt mũi nasorin,gel xịt mũi nasorin,,133
genituk,genituk,,260
gentin,gentin,,1
gikanin,gikanin,,1004
gimtafort,gimtafort,,2
giotrif,giotrif,,1
glencinone,glencinone,,180
gliclada,gliclada,,766
glimepirid dwp,glimepirid dwp,,294
glimsure,glimsure,,1520
glivt,glivt,,36
glizym-m,glizym-m,,33
glucophage,glucophage,,9
glucophage xr,glucophage,,716
glucophage ® xr,glucophage ®,,681
glucovance,glucovance,,273
glucozinc s,glucozinc s,,22
glumarix 20mg; 612mg,glumarix 20mg; 612mg,,26
glumeben,glumeben,,394
glumeform,glumeform,,3666
glupain forte,glupain,,7
glutowin plus,glutowin,,755
gluzitop mr,gluzitop mr,,206
glyxambi,glyxambi,,11
golheal,golheal,,358
greatcet 325mg,greatcet 325mg,,983
gumitic,gumitic,,9
hadubamol,hadubamol,,5
haducarbo,haducarbo,,7
haduliptin,haduliptin,,11
hadusartan hydro,hadusartan hydro,,11
hantacid (220 mg,hantacid (220 mg,,394
hapacol,hapacol,,2150
happyvisc,happyvisc,,5
harnal ocas,harnal ocas,,293
harotin,harotin,,267
hebozeta,hebozeta,,8
hemolog,hemolog,,8
hepaqueen plus,hepaqueen,,106
heradrea,heradrea,,5
hidrasec,hidrasec,,251
hiruscar post acne gel,hiruscar post acne gel,,20
hismedan,hismedan,,167
hoastex,hoastex,,1775
hornol,hornol,,3
hovinlex,hovinlex,,30
hoạt huyết dưỡng não dược sư,hoạt huyết dưỡng não dược sư,,118
hoạt huyết dưỡng não đông dược việt,hoạt huyết dưỡng não đông dược việt,,7
htnesoum,htnesoum,,13
humalog mix50 kwikpen+3 pen ndl,humalog mix50 kwikpen+3 pen ndl,,21
huntelaar,huntelaar,,1625
hydrocolacyl,hydrocolacyl,,236
iba-mentin,iba-mentin,,120
ibsaga,ibsaga,,7
ibuhadi 600,ibuhadi,,11
ibutop,ibutop,,55
idatril,idatril,,954
imdur,imdur,,1
imdur tab,imdur,,2
imedoxim,imedoxim,,184
imefed,imefed,,391
imefed dt,imefed,,384
imefed sc,imefed sc,,670
imenir,imenir,,12
imerixx,imerixx,,2480
imexime,imexime,,276
imidu,imidu,,4
imruvat,imruvat,,169
insuact,insuact,,70
irbeplus hct,irbeplus hct,,158
irbesartan od dwp,irbesartan od dwp,,8
irbevel,irbevel,,2
isaias,isaias,,12
isoday,isoday,,1189
isosorbid mononitrat dwp,isosorbid mononitrat dwp,,104
isotisun,isotisun,,6
isotretinoin,isotretinoin,,11
ivacrig (huyết thanh kháng dại tinh chế),ivacrig (huyết thanh kháng dại tinh chế),,213
ivagim,ivagim,,187
ivermectin 3 a.t,ivermectin 3 a.t,,262
januvia,januvia,,1
japiane,japiane,,293
jardiance,jardiance,,1529
javelin,javelin,,2
jubve,jubve,,8
kabzu,kabzu,,1
kacerin,kacerin,,253
kaclocide plus,kaclocide,,81
kafedipin,kafedipin,,184
kaflovo,kaflovo,,665
kapredin,kapredin,,5054
karvidil,karvidil,,254
kary uni,kary uni,,129
katrypsin fort,katrypsin fort,,85
kavasdin,kavasdin,,2149
kavosnor forte,kavosnor,,27
ketoprofen ec dwp,ketoprofen ec dwp,,431
ketoproxin,ketoproxin,,951
ketotifen helcor,ketotifen helcor,,33
ketovital,ketovital,,37
khang minh tỷ viêm nang,khang minh tỷ viêm nang,,2
kidneycap bát vị - bổ thận dương,kidneycap bát vị - bổ thận dương,,1
kidneycap bát vị bổ thận dương cao đặc,kidneycap bát vị bổ thận dương cao đặc,,9
kitno,kitno,,186
klacid,klacid,,752
kogimin,kogimin,,187
kutab,kutab,,165
laci-eye,laci-eye,,1016
lacikez,lacikez,,1049
lacisartan hct,lacisartan hct,,3279
lacosepicyn,lacosepicyn,,307
lacosoxicron,lacosoxicron,,78
lacves,lacves,,80
lambertu,lambertu,,23
lanam sc,lanam sc,,27
lantus solostar+4 đầu kim pen ndl,lantus solostar+4 đầu kim pen ndl,,7
leminerg,leminerg,,11
lepigin,lepigin,,23
leracet 500mg film-coated tablets,leracet 500mg film-coated tablets,,4
lercatop,lercatop,,34
letarid 50,letarid,,36
levistel,levistel,,11
levodhg,levodhg,,15
levothyrox,levothyrox,,166
levpiram,levpiram,,268
lifecita,lifecita,,1
linatab tablet,linatab tablet,,94
linezin,linezin,,8
linezolid krka,linezolid krka,,2
lipagim,lipagim,,570
lipanthyl 200m,lipanthyl 200m,,659
lipanthyl nt,lipanthyl nt,,5
lipidorox,lipidorox,,253
lipitor,lipitor,,202
lirystad 150,lirystad,,1
lisazin,lisazin,,24
lisinopril/hctz stada,lisinopril/hctz,,212
lisoril-10,lisoril-10,,576
livernin-dh,livernin-dh,,34
livosil,livosil,,213
logpatat,logpatat,,12
lorista hd,lorista hd,,2
lornomeyer,lornomeyer,,238
losar-denk,losar-denk,,1
losartan dwp,losartan dwp,,2614
lotemax,lotemax,,87
lovarem tablets,lovarem tablets,,4
lowsta,lowsta,,2350
lupipezil,lupipezil,,197
luvox,luvox,,170
"lysoelf 250mg, 100mg","lysoelf 250mg, 100mg",,1
macrina,macrina,,418
mariprax,mariprax,,27
maxibumol,maxibumol,,13
maxibumol fort,maxibumol fort,,85
mebendazole,mebendazole,,20
mebisita,mebisita,,441
meclon,meclon,,22
medaxetine,medaxetine,,6
medoome,medoome,,632
medoxicam,medoxicam,,96
megazon,megazon,,293
meglucon,meglucon,,386
meko inh,meko inh,,2
melanov-m,melanov-m,,14
melevox,melevox,,45
melopower,melopower,,446
meloxicam od dwp,meloxicam od dwp,,2
menrva white,menrva white,,2
mepoly (35mg,mepoly (35mg,,218
mesadona,mesadona,,6
metaxidox,metaxidox,,40
metazrel,metazrel,,8
metazydyna,metazydyna,,356
metformin,metformin,,1238
methocarbamol mcn,methocarbamol mcn,,2360
methylcobalamin capsules,methylcobalamin capsules,,206
metiny,metiny,,145
metozamin,metozamin,,41
metronidazol,metronidazol,,718
meyer-salazin,meyer-salazin,,13
meyerbastin,meyerbastin,,20
meyerdabiga,meyerdabiga,,68
meyerexcold,meyerexcold,,1309
meyernazid,meyernazid,,57
meyerproxen,meyerproxen,,304
meyertenin,meyertenin,,272
meyerzadin 4,meyerzadin,,1
mezafen,mezafen,,483
mft- cefaclor,mft- cefaclor,,515
mibelet,mibelet,,4
mibeplen,mibeplen,,1
mibetel hct,mibetel hct,,404
mibiotin,mibiotin,,116
midamox,midamox,,18
midanat 100,midanat,,1
midantin,midantin,,2793
minbrom,minbrom,,217
mirenzine,mirenzine,,8
mirzaten,mirzaten,,138
misenbo,misenbo,,1
miticilux,miticilux,,95
mitidipil,mitidipil,,20
mitipizid,mitipizid,,605
mitipreni,mitipreni,,466
