drug_name,count,generic_name,atc_code,confidence,method
chimitol vaginal tablet,13,,,,
chorlatcyn cao mật lợn khô,3,,,,
cilavef,56,,,,
cinnarizine sopharma,5,cinnarizine,N07CA02,high,manual_dict
cinnarizine stada,24,cinnarizine,N07CA02,high,manual_dict
cipro-denk,15,xaliproden,N07XX03,fuzzy_0.70,fuzzy_match
clamodia 625 fc tablets,70,,,,
clarie od,37,,,,
clarisol-500,13,,,,
clarithromycin stella,29,clarithromycin,J01FA09,high,manual_dict
clenmysol tab,1,,,,
clindamycin eg,43,clindamycin,J01FF01,high,manual_dict
clingel,24,cineole,R05CA13,fuzzy_0.71,fuzzy_match
clonicap,29,ciclonicate,C04AC07,fuzzy_0.74,fuzzy_match
clorpheniramin kp,220,dexchlorpheniramine,R06AB02,fuzzy_0.78,fuzzy_match
co-aprovel,4,,,,
co-diovan,4,,,,
colchicina seid,226,colchicine,M04AC01,fuzzy_0.80,fuzzy_match
colchicine stella,51,colchicine,M04AC01,high,manual_dict
colocol suppo 150,3,,,,
colosar - denk 50/ 12.5,9,,,,
colosar-denk,24,,,,
combigan,120,combinations,A01AA30,fuzzy_0.70,fuzzy_match
combiwave fb 200 (200mcg,165,,,,
conazonin,35,doxazosin,C02CA04,fuzzy_0.67,fuzzy_match
concor,99,bisoprolol,C07AB07,high,manual_dict
concor cor,4043,bisoprolol,C07AB07,high,manual_dict
concor cor tab,4,bisoprolol,C07AB07,high,manual_dict
conipa pure,237,,,,
cordamil,27,chlorambucil,L01AA02,fuzzy_0.70,fuzzy_match
coveram 10-10 tab 10-10mg 30's,1,,,,
coveram 5-5 tab,2,,,,
coversyl plus,5,,,,
coversyl tab,4,,,,
cpr-sachabo,93,,,,
cravit,180,,,,
creamec,204,,,,
crederm ointment,1,,,,
crestor tab,3,,,,
crila forte,10,crilanomer,D03AX09,fuzzy_0.67,fuzzy_match
cruderan,5,dextran,B05AA05,fuzzy_0.67,fuzzy_match
curam,848,amoxicillin and enzyme inhibitor,J01CR02,high,manual_dict
cystin-b6 boston 500 mg,191,,,,
dacolfort,3660,diosmin,C05CA03,high,manual_dict
daiclo,305,aciclovir,D06BB03,fuzzy_0.67,fuzzy_match
dalekine,421,alverine,A03AX08,fuzzy_0.75,fuzzy_match
dapzin-10,94,,,,
daquetin,305,dapoxetine,G04BX14,fuzzy_0.67,fuzzy_match
datviron,40,ferrous sulfate,B03AA07,medium,manual_dict
debomin,640,merbromin,D08AK04,fuzzy_0.75,fuzzy_match
decolic,1,demecolcine,L01CC01,fuzzy_0.67,fuzzy_match
decolic f,232,,,,
decolic-f,260,,,,
delopedil,198,delapril,C09AA12,fuzzy_0.71,fuzzy_match
denk-air junior,82,,,,
depakine chrono,7,,,,
dermalight active illuminating cream,4,,,,
desbebe,670,,,,
detanana,6,dextran,B05AA05,fuzzy_0.67,fuzzy_match
dexibuprofen,797,ibuprofen,M01AE01,medium,manual_dict
dialamic,380,nialamide,N06AF02,fuzzy_0.71,fuzzy_match
diamicron mr,67,gliclazide,A10BB09,high,manual_dict
dicenin,110,difenoxin,A07DA04,fuzzy_0.75,fuzzy_match
diclowal supp,1,,,,
digazo,64,ditazole,B01AC01,fuzzy_0.71,fuzzy_match
diltiazem dwp,216,diltiazem,C08DB01,high,manual_dict
dimagel,4,dimazole,D01AE17,fuzzy_0.67,fuzzy_match
dimonium,43,cetrimonium,D08AJ02,fuzzy_0.74,fuzzy_match
diosfort,46,,,,
diosfrot,6,,,,
diovan,1,,,,
dipatin,560,cisplatin,L01XA01,fuzzy_0.75,fuzzy_match
diquas,53,,,,
disthyrox 100µg,173,,,,
divara,32,,,,
dixirein tab,451,ambroxol,R05CB06,high,manual_dict
dloe,69,,,,
dogrelsavi,3209,clopidogrel,B01AC04,high,manual_dict
"dolutegravir, lamivudine and tenofovir disoproxil fumarate tablets",15,lamivudine,J05AF05,high,manual_dict
domela,529,,,,
domuvar 2x10^9 cfu/5ml,90,,,,
dopegyt,100,,,,
dorithricin,162,dirithromycin,J01FA13,fuzzy_0.75,fuzzy_match
dr max comforcare ice spray,17,,,,
dr.pharti acne gone,53,,,,
dromasm fort,7,,,,
dropstar,206,nadroparin,B01AB06,fuzzy_0.67,fuzzy_match
drotusc,1066,dextromethorphan,R05DA09,high,manual_dict
drotusc forte,1499,dextromethorphan,R05DA09,high,manual_dict
dryches,497,,,,
dung dịch rửa vết thương suporan,9,,,,
dung dịch súc miệng - họng supowat,77,,,,
dung dịch xịt mũi sterimar allergic nose,14,,,,
dung dịch xịt mũi sterimar blocked nose,7,,,,
dung dịch xịt mũi sterimar blocked nose baby,16,,,,
dung dịch xịt mũi sterimar nose hygiene and comfort,24,,,,
dung dịch xịt mũi sterimar nose hygiene baby,8,,,,
dung dịch xịt mũi sterimar sensitive nose,9,,,,
dung dịch xịt mũi xoang plasmakare x-spray,236,,,,
duoridin,86,idoxuridine,D06BB01,fuzzy_0.74,fuzzy_match
duphalac,158,,,,
"dutabit 0,5",2,,,,
dutixim,11,,,,
dưỡng cốt,1,,,,
ebifanz,34,,,,
ebitac,46,felbinac,M02AA08,fuzzy_0.71,fuzzy_match
ebitac forte,153,,,,
efferoxen,8,deferoxamine,V03AC01,fuzzy_0.67,fuzzy_match
effixent,19,,,,
elaria,1,delapril,C09AA12,fuzzy_0.71,fuzzy_match
eliquis tab,3,eliglustat,A16AX10,fuzzy_0.67,fuzzy_match
emanera,8,,,,
